 Episode    Policy Loss     Value Loss   Total Reward     Total Loss Curiosity Loss     Time Delta                Time
     177        78.0476       139.3375          25.46       259.4922        11.1776          3.986 2025-01-03T00:05:37
     178      -143.3357        36.2771           4.45         5.5020        13.0699          5.228 2025-01-03T00:05:37
     179      -146.9998        90.3460          14.93        19.5313        12.1358          5.097 2025-01-03T00:05:38
     180      -140.2974       112.9554           5.06        53.0951        13.6915          5.327 2025-01-03T00:05:38
     181        83.2715       141.2711          25.39       264.8288        11.0922          4.083 2025-01-03T00:05:38
     182      -186.7807        59.1917           6.14        -9.5336        14.7651          5.371 2025-01-03T00:05:38
     183       -49.9680        27.2620           7.79        89.7667        12.6104          5.186 2025-01-03T00:05:38
     184       256.9250       351.0916          33.13       600.6295        16.8159          4.883 2025-01-03T00:05:39
     185      -262.8937       118.6322           5.79       -61.0067        14.2571          5.236 2025-01-03T00:05:40
     186        91.5362       145.5496          25.15       272.6733        10.8362          4.294 2025-01-03T00:05:41
     187      -238.6520       100.0225           5.96       -43.2394        14.5401          5.372 2025-01-03T00:05:41
     188       -62.0152         7.8147           5.90        61.9049        12.0013          5.425 2025-01-03T00:05:41
     189      -178.5867        51.5312           0.54       -35.2942        11.7527          5.426 2025-01-03T00:05:41
     190        99.1454       149.8153          24.95       280.3126        10.6259          4.127 2025-01-03T00:05:42
     191       -89.2391        16.1876           3.00        35.0416        11.6187          5.294 2025-01-03T00:05:43
     192      -113.2464        22.9550           2.37        11.4299        11.3199          5.497 2025-01-03T00:05:43
     193       256.0115       173.0000          25.95       503.5303        16.1019          5.617 2025-01-03T00:05:43
     194      -122.1148        28.0885           7.16        48.9864        15.7057          5.373 2025-01-03T00:05:44
     195       -80.6057        17.4282           2.83        40.5301        11.2422          5.659 2025-01-03T00:05:44
     196       244.3743       153.3445          29.01       454.3804        13.3334          5.592 2025-01-03T00:05:45
     197       257.5025       115.9680          24.68       475.1349        15.9648          5.453 2025-01-03T00:05:45
     198       103.4330       151.0157          24.65       282.1592        10.3218          4.470 2025-01-03T00:05:46
     199       -70.3197        72.7431           1.49        -7.8280         2.6120          1.152 2025-01-03T00:05:47
     201       106.8348       152.9398          24.55       285.4213        10.2117          4.216 2025-01-03T00:05:47
     202       -81.8762        23.7952           1.47        38.6682        10.8647          5.711 2025-01-03T00:05:47
     203         0.0326        18.1706           4.32       113.2586        10.4141          5.741 2025-01-03T00:05:47
     204       -71.9324        34.8586           1.61        54.0116        10.8515          5.494 2025-01-03T00:05:48
     200      -308.2672       182.6001           0.15       -88.9400        12.8027          5.446 2025-01-03T00:05:48
     205       -62.3977        10.7083           2.36        48.4464        10.5490          5.625 2025-01-03T00:05:49
     206       139.5837        68.8674          20.21       354.7391        18.0722          5.903 2025-01-03T00:05:49
     207       -97.9672        22.4542           6.37        65.2723        15.2012          5.908 2025-01-03T00:05:50
     208      -130.9100        36.9665          -1.53        -7.4781        10.4949          5.987 2025-01-03T00:05:50
     209       115.5048       159.7767          24.46       296.5022        10.1109          4.538 2025-01-03T00:05:50
     210       383.2437       303.5920          31.27       715.6295        18.0590          5.749 2025-01-03T00:05:51
     211       116.9997       161.9153          24.49       299.2595        10.1302          5.000 2025-01-03T00:05:52
     212       374.4341       294.1904          31.77       655.0532        13.3524          5.518 2025-01-03T00:05:52
     213        -8.4818         4.7764           3.00        98.5812        10.4675          5.590 2025-01-03T00:05:53
     214       -21.5127         8.8026           2.25        89.9494        10.7061          5.598 2025-01-03T00:05:53
     215      -104.4857        22.3115          -1.44        11.6293        10.4959          5.443 2025-01-03T00:05:54
